سوال,پاسخ
دانشگاه تربیت دبیر شهید رجایی چه نوع دانشگاهی است؟,دانشگاه تربیت دبیر شهید رجایی از دانشگاه‌های وابسته به وزارت آموزش و پرورش است و یکی از دو دانشگاه تربیت معلم کشور محسوب می‌شود. این دانشگاه تنها دانشگاه کشور است که مأموریت تربیت دبیران فنی را برعهده دارد و به همین دلیل «دانشگاه راهبردی» برای کشور محسوب می‌گردد.
دانشگاه شهید رجایی زیر نظر کدام وزارتخانه است؟,دانشگاه تربیت دبیر شهید رجایی از دانشگاه‌های وابسته به وزارت آموزش و پرورش است.
این آیین‌نامه برای چه مقطع تحصیلی و از چه زمانی لازم‌الاجراست؟,این شیوه‌نامه برای کلیه دانشجویان مقطع کارشناسی لازم‌الاجراست و از آغاز نیمسال اول سال تحصیلی ۱۴۰۲-۱۴۰۳ برای دانشجویانی که سقف سنوات مجاز تحصیلی‌شان به پایان نرسیده اجرا می‌شود. تمام بخشنامه‌ها و مستندات مرتبط با مقررات آموزشی قبلی برای این دانشجویان لغو و بلااثر است.
مسئولیت اجرای این آیین‌نامه و تفسیر مفاد آن با چه کسی است؟,بر اساس ماده ۲۶ این شیوه‌نامه، مسئولیت حسن اجرا و نظارت بر اجرای آیین‌نامه بر عهده دانشگاه است و تفسیر مفاد آن بر عهده معاون آموزشی وزارت علوم، تحقیقات و فناوری است.
همه امور آموزشی دانشجویان از چه طریق پیگیری می‌شود؟,کلیه امور آموزشی دانشجویان از طریق سامانه دانشگاه به نشانی www.portal.sru.ac.ir پیگیری می‌شود و دانشجویان باید قبل از هر اقدام، راهنمای «فرآیندهای سیستم جامع آموزشی گلستان جهت دانشجویان کارشناسی» را در سامانه مطالعه کنند. اطلاعیه‌های دانشگاه نیز در سایت www.sru.ac.ir درج می‌شود.
آدرس سایت دانشگاه چیست؟,سایت اصلی دانشگاه www.sru.ac.ir است که اطلاعیه‌های دانشگاه در آن درج می‌شود و سامانه جامع آموزشی دانشجویان نیز به آدرس www.portal.sru.ac.ir در دسترس است.
شرط ورود به دانشگاه شهید رجایی چیست؟,شرط ورود به دانشگاه، تأیید شایستگی‌های علمی و عمومی از طریق پذیرفته شدن در آزمون ورودی است که توسط سازمان سنجش آموزش کشور برگزار می‌شود.
تعهد خدمت دانشجویان این دانشگاه به چه معناست؟,پذیرفته‌شدگان این دانشگاه به عنوان دانشجوی متعهد خدمت وزارت آموزش و پرورش شناخته می‌شوند و لازم است تعهدنامه رسمی خدمت را تکمیل و امضا کنند. سپردن تعهد خدمت باید پیش از ثبت‌نام و در آغاز تحصیل صورت گیرد و حداکثر تا پایان نیمسال اول باید اجرای قانون تعهد خدمت میسر شود.
دانشجوی متعهد خدمت باید مرخصی‌ها یا خروج از کشور خود را به کجا اطلاع دهد؟,دانشجوی متعهد خدمت موظف است مرخصی‌های تحصیلی، خروج از کشور (زیارتی و غیرزیارتی)، وضعیت مشروطی یا تجدیدی و همچنین فراغت از تحصیل خود را به اداره کل آموزش و پرورش استان (اداره کل مدیریت منابع انسانی و امور اداری) اعلام کند.
آیا تعهد خدمت مانع استفاده از امکانات رفاهی مثل خوابگاه و وام می‌شود؟,خیر، موضوع قانون تعهد خدمت دانشجویان مانع استفاده از امکانات رفاهی مانند خوابگاه، وام و صندوق رفاه نمی‌شود، اما هزینه‌های شبانه‌روزی و خوابگاه طبق مقررات مربوط از وجوه پرداختی دانشجو کسر خواهد شد.
